순위,제목,가수,장르
1,HAPPY,DAY6 (데이식스),록/메탈
2,APT.,로제 (ROSÉ),댄스
3,내 이름 맑음,QWER,록/메탈
4,UP (KARINA Solo),aespa,댄스
5,Welcome to the Show,DAY6 (데이식스),록/메탈
6,Supernova,aespa,댄스
7,한 페이지가 될 수 있게,DAY6 (데이식스),록/메탈
8,Supersonic,프로미스나인,댄스
9,소나기,이클립스 (ECLIPSE),"발라드, 국내드라마"
10,녹아내려요,DAY6 (데이식스),록/메탈
11,Mantra,제니 (JENNIE),댄스
12,예뻤어,DAY6 (데이식스),록/메탈
13,How Sweet,NewJeans,댄스
14,고민중독,QWER,록/메탈
15,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤),발라드
16,클락션 (Klaxon),(여자)아이들,댄스
17,Small girl (feat. 도경수(D.O.)),이영지,랩/힙합
18,천상연,이창섭,발라드
19,Sticky,KISS OF LIFE,댄스
20,나는 아픈 건 딱 질색이니까,(여자)아이들,댄스
21,슬픈 초대장,순순희(지환),"발라드, 인디음악"
22,Supernatural,NewJeans,J-POP
23,첫 만남은 계획대로 되지 않아,TWS (투어스),댄스
24,Love wins all,아이유,발라드
25,Magnetic,아일릿(ILLIT),댄스
26,그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection)),너드커넥션 (Nerd Connection),발라드
27,Armageddon,aespa,댄스
28,Whiplash,aespa,댄스
29,에피소드,이무진,록/메탈
30,헤어지자 말해요,박재정,발라드
31,비의 랩소디,임재현,발라드
32,Bubble Gum,NewJeans,댄스
33,해야 (HEYA),IVE (아이브),댄스
34,주저하는 연인들을 위해,잔나비,"인디음악, 록/메탈"
35,너의 모든 순간,성시경,"발라드, 국내드라마"
36,사랑은 늘 도망가,임영웅,"발라드, 국내드라마"
37,SPOT! (feat. JENNIE),지코 (ZICO),랩/힙합
38,미안해 미워해 사랑해,Crush,"발라드, 국내드라마"
39,Hype Boy,NewJeans,댄스
40,다정히 내 이름을 부르면,경서예지,발라드
41,별별별 (See that?),NMIXX,댄스
42,Pump Up The Volume!,PLAVE,록/메탈
43,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,"발라드, 국내드라마"
44,인사,범진,"발라드, 인디음악"
45,I AM,IVE (아이브),댄스
46,WAY 4 LUV,PLAVE,록/메탈
47,Congratulations,DAY6 (데이식스),록/메탈
48,취중고백,김민석,발라드
49,To. X,태연 (TAEYEON),R&B/Soul
50,Ditto,NewJeans,댄스
51,Boom Boom Bass,RIIZE,댄스
52,사랑인가 봐,멜로망스,"발라드, 국내드라마"
53,사건의 지평선,윤하 (YOUNHA),록/메탈
54,Seven (feat. Latto) - Clean Ver.,정국,댄스
55,청혼하지 않을 이유를 못 찾았어,이무진,발라드
56,ETA,NewJeans,댄스
57,Drama,aespa,댄스
58,내가 S면 넌 나의 N이 되어줘,TWS (투어스),댄스
59,파이팅 해야지 (Feat. 이영지),부석순 (SEVENTEEN),댄스
60,I Don't Think That I Like Her,Charlie Puth,POP
61,사막에서 꽃을 피우듯,우디 (Woody),발라드
62,오래된 노래,허각,발라드
63,Attention,NewJeans,댄스
64,Super Shy,NewJeans,댄스
65,MEOW,MEOVV (미야오),랩/힙합
66,우리 영화,PLAVE,랩/힙합
67,CRAZY,LE SSERAFIM (르세라핌),댄스
68,밤양갱,비비 (BIBI),R&B/Soul
69,Love 119,RIIZE,댄스
70,플러팅,황인욱,발라드
71,우리들의 블루스,임영웅,발라드
72,내게 사랑이 뭐냐고 물어본다면,로이킴,발라드
73,Get A Guitar,RIIZE,댄스
74,Spicy,aespa,댄스
75,Dynamite,방탄소년단,댄스
76,Love Lee,AKMU (악뮤),댄스
77,LOVE DIVE,IVE (아이브),댄스
78,From,PLAVE,발라드
79,청춘만화,이무진,록/메탈
80,퀸카 (Queencard),(여자)아이들,댄스
81,Perfect Night,LE SSERAFIM (르세라핌),댄스
82,봄날,방탄소년단,랩/힙합
83,"LOVE, MONEY, FAME (feat. DJ Khaled)",세븐틴 (SEVENTEEN),댄스
84,온기,임영웅,발라드
85,모래 알갱이,임영웅,발라드
86,다시 만날 수 있을까,임영웅,발라드
87,이제 나만 믿어요,임영웅,성인가요/트로트
88,꿈,태연 (TAEYEON),"발라드, 국내드라마"
89,Girls Never Die,tripleS (트리플에스),댄스
90,SHEESH,BABYMONSTER,R&B/Soul
91,Home,임영웅,댄스
92,Watch Me Woo!,PLAVE,록/메탈
93,OMG,NewJeans,댄스
94,무지개,임영웅,록/메탈
95,위태로울걸,오반(OVAN),"랩/힙합, 인디음악"
96,버추얼 아이돌,PLAVE,랩/힙합
97,Live My Life,aespa,록/메탈
98,Nice Guy,BOYNEXTDOOR,댄스
99,숲,최유리,"인디음악, 포크/블루스"
100,Do or Die,임영웅,댄스
