순위,제목,가수,장르
1,Supernova,aespa,댄스
2,클락션 (Klaxon),(여자)아이들,댄스
3,How Sweet,NewJeans,댄스
4,Sticky,KISS OF LIFE,댄스
5,Small girl (feat. 도경수(D.O.)),이영지,랩/힙합
6,Supernatural,NewJeans,J-POP
7,소나기,이클립스 (ECLIPSE),"발라드, 국내드라마"
8,한 페이지가 될 수 있게,DAY6 (데이식스),록/메탈
9,고민중독,QWER,록/메탈
10,Bubble Gum,NewJeans,댄스
11,나는 아픈 건 딱 질색이니까,(여자)아이들,댄스
12,Armageddon,aespa,댄스
13,Welcome to the Show,DAY6 (데이식스),록/메탈
14,Magnetic,아일릿(ILLIT),댄스
15,첫 만남은 계획대로 되지 않아,TWS (투어스),댄스
16,해야 (HEYA),IVE (아이브),댄스
17,SPOT! (feat. JENNIE),지코 (ZICO),랩/힙합
18,예뻤어,DAY6 (데이식스),록/메탈
19,천상연,이창섭,발라드
20,에피소드,이무진,록/메탈
21,미안해 미워해 사랑해,Crush,"발라드, 국내드라마"
22,Hype Boy,NewJeans,댄스
23,슬픈 초대장,순순희(지환),"발라드, 인디음악"
24,Love wins all,아이유,발라드
25,Boom Boom Bass,RIIZE,댄스
26,비의 랩소디,임재현,발라드
27,그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection)),너드커넥션 (Nerd Connection),발라드
28,I AM,IVE (아이브),댄스
29,내가 S면 넌 나의 N이 되어줘,TWS (투어스),댄스
30,ETA,NewJeans,댄스
31,헤어지자 말해요,박재정,발라드
32,To. X,태연 (TAEYEON),R&B/Soul
33,Seven (feat. Latto) - Clean Ver.,정국,댄스
34,오래된 노래,허각,발라드
35,Attention,NewJeans,댄스
36,Super Shy,NewJeans,댄스
37,밤양갱,비비 (BIBI),R&B/Soul
38,너의 모든 순간,성시경,"발라드, 국내드라마"
39,사랑은 늘 도망가,임영웅,"발라드, 국내드라마"
40,Ditto,NewJeans,댄스
41,Drama,aespa,댄스
42,사랑인가 봐,멜로망스,"발라드, 국내드라마"
43,SHEESH,BABYMONSTER,R&B/Soul
44,Spicy,aespa,댄스
45,주저하는 연인들을 위해,잔나비,"인디음악, 록/메탈"
46,인사,범진,"발라드, 인디음악"
47,청혼하지 않을 이유를 못 찾았어,이무진,발라드
48,사건의 지평선,윤하 (YOUNHA),록/메탈
49,퀸카 (Queencard),(여자)아이들,댄스
50,LOVE DIVE,IVE (아이브),댄스
51,Girls Never Die,tripleS (트리플에스),댄스
52,파이팅 해야지 (Feat. 이영지),부석순 (SEVENTEEN),댄스
53,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,"발라드, 국내드라마"
54,사막에서 꽃을 피우듯,우디 (Woody),발라드
55,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤),발라드
56,Perfect Night,LE SSERAFIM (르세라핌),댄스
57,Love Lee,AKMU (악뮤),댄스
58,OMG,NewJeans,댄스
59,다정히 내 이름을 부르면,경서예지,발라드
60,Accendio,IVE (아이브),댄스
61,I Don't Think That I Like Her,Charlie Puth,POP
62,Love 119,RIIZE,댄스
63,Get A Guitar,RIIZE,댄스
64,WAY 4 LUV,PLAVE,록/메탈
65,그랬나봐,유회승 (엔플라잉),"발라드, 국내드라마"
66,Cosmic,Red Velvet (레드벨벳),댄스
67,취중고백,김민석,발라드
68,Dynamite,방탄소년단,댄스
69,MANIAC,VIVIZ (비비지),댄스
70,꿈,태연 (TAEYEON),"발라드, 국내드라마"
71,Midas Touch,KISS OF LIFE,댄스
72,네가 내 마음에 자리 잡았다 (Into You),엔플라잉 (N.Flying),록/메탈
73,우리들의 블루스,임영웅,발라드
74,봄눈,10CM,"발라드, 국내드라마"
75,MAESTRO,세븐틴 (SEVENTEEN),댄스
76,온기,임영웅,발라드
77,삐그덕 (Walk),NCT 127,댄스
78,봄날,방탄소년단,랩/힙합
79,Lucky Girl Syndrome,아일릿(ILLIT),댄스
80,모래 알갱이,임영웅,발라드
81,우리 영화,PLAVE,랩/힙합
82,내가 그댈,하동균,R&B/Soul
83,EASY,LE SSERAFIM (르세라핌),랩/힙합
84,다시 만날 수 있을까,임영웅,발라드
85,이제 나만 믿어요,임영웅,성인가요/트로트
86,Right Now,NewJeans,J-POP
87,Home,임영웅,댄스
88,Live My Life,aespa,록/메탈
89,Impossible,RIIZE,댄스
90,From,PLAVE,발라드
91,무지개,임영웅,록/메탈
92,Do or Die,임영웅,댄스
93,Cruel Summer,Taylor Swift,POP
94,London Boy,임영웅,록/메탈
95,사랑하지 않아서 그랬어,임한별,발라드
96,Siren,RIIZE,댄스
97,Watch Me Woo!,PLAVE,록/메탈
98,Polaroid,임영웅,록/메탈
99,"잘 지내자, 우리 (여름날 우리 X 로이킴)",로이킴,발라드
100,인생찬가,임영웅,발라드
