순위,제목,가수,장르
1,Supernova,aespa,댄스
2,How Sweet,NewJeans,댄스
3,Bubble Gum,NewJeans,댄스
4,소나기,이클립스 (ECLIPSE),"발라드, 국내드라마"
5,SPOT! (feat. JENNIE),지코 (ZICO),랩/힙합
6,고민중독,QWER,록/메탈
7,해야 (HEYA),IVE (아이브),댄스
8,Magnetic,아일릿(ILLIT),댄스
9,Armageddon,aespa,댄스
10,나는 아픈 건 딱 질색이니까,(여자)아이들,댄스
11,첫 만남은 계획대로 되지 않아,TWS (투어스),댄스
12,미안해 미워해 사랑해,Crush,"발라드, 국내드라마"
13,한 페이지가 될 수 있게,DAY6 (데이식스),록/메탈
14,천상연,이창섭,발라드
15,예뻤어,DAY6 (데이식스),록/메탈
16,에피소드,이무진,록/메탈
17,SHEESH,BABYMONSTER,R&B/Soul
18,Love wins all,아이유,발라드
19,비의 랩소디,임재현,발라드
20,밤양갱,비비 (BIBI),R&B/Soul
21,Hype Boy,NewJeans,댄스
22,Welcome to the Show,DAY6 (데이식스),록/메탈
23,그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection)),너드커넥션 (Nerd Connection),발라드
24,To. X,태연 (TAEYEON),R&B/Soul
25,I AM,IVE (아이브),댄스
26,ETA,NewJeans,댄스
27,Drama,aespa,댄스
28,Small girl (feat. 도경수(D.O.)),이영지,랩/힙합
29,헤어지자 말해요,박재정,발라드
30,Super Shy,NewJeans,댄스
31,Seven (feat. Latto) - Clean Ver.,정국,댄스
32,사랑은 늘 도망가,임영웅,"발라드, 국내드라마"
33,슬픈 초대장,순순희(지환),"발라드, 인디음악"
34,Ditto,NewJeans,댄스
35,MAESTRO,세븐틴 (SEVENTEEN),댄스
36,그랬나봐,유회승 (엔플라잉),"발라드, 국내드라마"
37,사랑인가 봐,멜로망스,"발라드, 국내드라마"
38,너의 모든 순간,성시경,"발라드, 국내드라마"
39,Spicy,aespa,댄스
40,Attention,NewJeans,댄스
41,인사,범진,"발라드, 인디음악"
42,봄눈,10CM,"발라드, 국내드라마"
43,Accendio,IVE (아이브),댄스
44,Perfect Night,LE SSERAFIM (르세라핌),댄스
45,EASY,LE SSERAFIM (르세라핌),랩/힙합
46,Love 119,RIIZE,댄스
47,Girls Never Die,tripleS (트리플에스),댄스
48,청혼하지 않을 이유를 못 찾았어,이무진,발라드
49,Midas Touch,KISS OF LIFE,댄스
50,OMG,NewJeans,댄스
51,MANIAC,VIVIZ (비비지),댄스
52,Lucky Girl Syndrome,아일릿(ILLIT),댄스
53,Smart,LE SSERAFIM (르세라핌),R&B/Soul
54,퀸카 (Queencard),(여자)아이들,댄스
55,사막에서 꽃을 피우듯,우디 (Woody),발라드
56,주저하는 연인들을 위해,잔나비,"인디음악, 록/메탈"
57,Love Lee,AKMU (악뮤),댄스
58,사건의 지평선,윤하 (YOUNHA),록/메탈
59,Get A Guitar,RIIZE,댄스
60,파이팅 해야지 (Feat. 이영지),부석순 (SEVENTEEN),댄스
61,LOVE DIVE,IVE (아이브),댄스
62,Run Run,이클립스 (ECLIPSE),"록/메탈, 국내드라마"
63,우리들의 블루스,임영웅,발라드
64,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤),발라드
65,I Don't Think That I Like Her,Charlie Puth,POP
66,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,"발라드, 국내드라마"
67,꿈,태연 (TAEYEON),"발라드, 국내드라마"
68,취중고백,김민석,발라드
69,다정히 내 이름을 부르면,경서예지,발라드
70,사랑하지 않아서 그랬어,임한별,발라드
71,"잘 지내자, 우리 (여름날 우리 X 로이킴)",로이킴,발라드
72,그대가 내 안에 박혔다(그내박),순순희(기태),"발라드, 인디음악"
73,Dynamite,방탄소년단,댄스
74,Impossible,RIIZE,댄스
75,손오공,세븐틴 (SEVENTEEN),댄스
76,심(心),DK(디셈버),록/메탈
77,온기,임영웅,발라드
78,Siren,RIIZE,댄스
79,홀씨,아이유,랩/힙합
80,모래 알갱이,임영웅,발라드
81,봄날,방탄소년단,랩/힙합
82,You & Me,제니 (JENNIE),댄스
83,Baddie,IVE (아이브),댄스
84,다시 만날 수 있을까,임영웅,발라드
85,청춘찬가,세븐틴 (SEVENTEEN),록/메탈
86,이제 나만 믿어요,임영웅,성인가요/트로트
87,Home,임영웅,댄스
88,꿈결같아서,민니 ((여자)아이들),"발라드, 국내드라마"
89,Kitsch,IVE (아이브),댄스
90,WAY 4 LUV,PLAVE,록/메탈
91,Do or Die,임영웅,댄스
92,무지개,임영웅,록/메탈
93,London Boy,임영웅,록/메탈
94,Polaroid,임영웅,록/메탈
95,인생찬가,임영웅,발라드
96,"Steal The Show (From ""Elemental"")",Lauv,"POP, 애니메이션/웹툰, 키즈"
97,Super Lady,(여자)아이들,댄스
98,Boom Boom Bass,RIIZE,댄스
99,London Boy,임영웅,록/메탈
100,Supernatural,NewJeans,J-POP
