순위,제목,가수,장르
1,Supernova,aespa,댄스
2,Small girl (feat. 도경수(D.O.)),이영지,랩/힙합
3,How Sweet,NewJeans,댄스
4,소나기,이클립스 (ECLIPSE),"발라드, 국내드라마"
5,Supernatural,NewJeans,J-POP
6,고민중독,QWER,록/메탈
7,Bubble Gum,NewJeans,댄스
8,Armageddon,aespa,댄스
9,SPOT! (feat. JENNIE),지코 (ZICO),랩/힙합
10,한 페이지가 될 수 있게,DAY6 (데이식스),록/메탈
11,해야 (HEYA),IVE (아이브),댄스
12,Magnetic,아일릿(ILLIT),댄스
13,나는 아픈 건 딱 질색이니까,(여자)아이들,댄스
14,Sticky,KISS OF LIFE,댄스
15,첫 만남은 계획대로 되지 않아,TWS (투어스),댄스
16,예뻤어,DAY6 (데이식스),록/메탈
17,천상연,이창섭,발라드
18,Welcome to the Show,DAY6 (데이식스),록/메탈
19,에피소드,이무진,록/메탈
20,미안해 미워해 사랑해,Crush,"발라드, 국내드라마"
21,클락션 (Klaxon),(여자)아이들,댄스
22,Boom Boom Bass,RIIZE,댄스
23,Love wins all,아이유,발라드
24,Hype Boy,NewJeans,댄스
25,비의 랩소디,임재현,발라드
26,그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection)),너드커넥션 (Nerd Connection),발라드
27,슬픈 초대장,순순희(지환),"발라드, 인디음악"
28,SHEESH,BABYMONSTER,R&B/Soul
29,I AM,IVE (아이브),댄스
30,오래된 노래,허각,발라드
31,밤양갱,비비 (BIBI),R&B/Soul
32,ETA,NewJeans,댄스
33,헤어지자 말해요,박재정,발라드
34,Seven (feat. Latto) - Clean Ver.,정국,댄스
35,Super Shy,NewJeans,댄스
36,To. X,태연 (TAEYEON),R&B/Soul
37,내가 S면 넌 나의 N이 되어줘,TWS (투어스),댄스
38,사랑은 늘 도망가,임영웅,"발라드, 국내드라마"
39,Drama,aespa,댄스
40,Attention,NewJeans,댄스
41,Ditto,NewJeans,댄스
42,너의 모든 순간,성시경,"발라드, 국내드라마"
43,사랑인가 봐,멜로망스,"발라드, 국내드라마"
44,청혼하지 않을 이유를 못 찾았어,이무진,발라드
45,Spicy,aespa,댄스
46,인사,범진,"발라드, 인디음악"
47,그랬나봐,유회승 (엔플라잉),"발라드, 국내드라마"
48,주저하는 연인들을 위해,잔나비,"인디음악, 록/메탈"
49,네가 내 마음에 자리 잡았다 (Into You),엔플라잉 (N.Flying),록/메탈
50,퀸카 (Queencard),(여자)아이들,댄스
51,Love 119,RIIZE,댄스
52,사막에서 꽃을 피우듯,우디 (Woody),발라드
53,사건의 지평선,윤하 (YOUNHA),록/메탈
54,Girls Never Die,tripleS (트리플에스),댄스
55,파이팅 해야지 (Feat. 이영지),부석순 (SEVENTEEN),댄스
56,OMG,NewJeans,댄스
57,Accendio,IVE (아이브),댄스
58,Perfect Night,LE SSERAFIM (르세라핌),댄스
59,Get A Guitar,RIIZE,댄스
60,LOVE DIVE,IVE (아이브),댄스
61,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤),발라드
62,Midas Touch,KISS OF LIFE,댄스
63,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,"발라드, 국내드라마"
64,Love Lee,AKMU (악뮤),댄스
65,MANIAC,VIVIZ (비비지),댄스
66,I Don't Think That I Like Her,Charlie Puth,POP
67,Cosmic,Red Velvet (레드벨벳),댄스
68,MAESTRO,세븐틴 (SEVENTEEN),댄스
69,취중고백,김민석,발라드
70,다정히 내 이름을 부르면,경서예지,발라드
71,Dynamite,방탄소년단,댄스
72,봄눈,10CM,"발라드, 국내드라마"
73,꿈,태연 (TAEYEON),"발라드, 국내드라마"
74,우리들의 블루스,임영웅,발라드
75,Right Now,NewJeans,J-POP
76,EASY,LE SSERAFIM (르세라핌),랩/힙합
77,Lucky Girl Syndrome,아일릿(ILLIT),댄스
78,온기,임영웅,발라드
79,내가 그댈,하동균,R&B/Soul
80,봄날,방탄소년단,랩/힙합
81,Impossible,RIIZE,댄스
82,모래 알갱이,임영웅,발라드
83,사랑하지 않아서 그랬어,임한별,발라드
84,다시 만날 수 있을까,임영웅,발라드
85,Siren,RIIZE,댄스
86,Home,임영웅,댄스
87,WAY 4 LUV,PLAVE,록/메탈
88,이제 나만 믿어요,임영웅,성인가요/트로트
89,Run Run,이클립스 (ECLIPSE),"록/메탈, 국내드라마"
90,Smart,LE SSERAFIM (르세라핌),R&B/Soul
91,손오공,세븐틴 (SEVENTEEN),댄스
92,무지개,임영웅,록/메탈
93,"잘 지내자, 우리 (여름날 우리 X 로이킴)",로이킴,발라드
94,Do or Die,임영웅,댄스
95,심(心),DK(디셈버),록/메탈
96,그대가 내 안에 박혔다(그내박),순순희(기태),"발라드, 인디음악"
97,London Boy,임영웅,록/메탈
98,Polaroid,임영웅,록/메탈
99,인생찬가,임영웅,발라드
100,우리 영화,PLAVE,랩/힙합
