순위,제목,가수,장르
1,APT.,로제 (ROSÉ),댄스
2,Whiplash,aespa,댄스
3,POWER,G-DRAGON,랩/힙합
4,UP (KARINA Solo),aespa,댄스
5,HAPPY,DAY6 (데이식스),록/메탈
6,Mantra,제니 (JENNIE),댄스
7,내 이름 맑음,QWER,록/메탈
8,Welcome to the Show,DAY6 (데이식스),록/메탈
9,내게 사랑이 뭐냐고 물어본다면,로이킴,발라드
10,Supernova,aespa,댄스
11,한 페이지가 될 수 있게,DAY6 (데이식스),록/메탈
12,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤),발라드
13,소나기,이클립스 (ECLIPSE),"발라드, 국내드라마"
14,Supersonic,프로미스나인,댄스
15,나는 반딧불,황가람,발라드
16,예뻤어,DAY6 (데이식스),록/메탈
17,천상연,이창섭,발라드
18,고민중독,QWER,록/메탈
19,How Sweet,NewJeans,댄스
20,슬픈 초대장,순순희(지환),"발라드, 인디음악"
21,녹아내려요,DAY6 (데이식스),록/메탈
22,Small girl (feat. 도경수(D.O.)),이영지,랩/힙합
23,Love wins all,아이유,발라드
24,나는 아픈 건 딱 질색이니까,(여자)아이들,댄스
25,클락션 (Klaxon),(여자)아이들,댄스
26,첫 만남은 계획대로 되지 않아,TWS (투어스),댄스
27,그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection)),너드커넥션 (Nerd Connection),발라드
28,"HOME SWEET HOME (feat. 태양, 대성)",G-DRAGON,랩/힙합
29,Drowning,WOODZ,록/메탈
30,너의 모든 순간,성시경,"발라드, 국내드라마"
31,Magnetic,아일릿(ILLIT),댄스
32,Sticky,KISS OF LIFE,댄스
33,에피소드,이무진,록/메탈
34,주저하는 연인들을 위해,잔나비,"인디음악, 록/메탈"
35,사랑은 늘 도망가,임영웅,"발라드, 국내드라마"
36,헤어지자 말해요,박재정,발라드
37,Supernatural,NewJeans,J-POP
38,비의 랩소디,임재현,발라드
39,Armageddon,aespa,댄스
40,Pump Up The Volume!,PLAVE,록/메탈
41,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,"발라드, 국내드라마"
42,미안해 미워해 사랑해,Crush,"발라드, 국내드라마"
43,다정히 내 이름을 부르면,경서예지,발라드
44,인사,범진,"발라드, 인디음악"
45,청춘만화,이무진,록/메탈
46,WAY 4 LUV,PLAVE,록/메탈
47,Ditto,NewJeans,댄스
48,SPOT! (feat. JENNIE),지코 (ZICO),랩/힙합
49,해야 (HEYA),IVE (아이브),댄스
50,Hype Boy,NewJeans,댄스
51,Bubble Gum,NewJeans,댄스
52,Congratulations,DAY6 (데이식스),록/메탈
53,I AM,IVE (아이브),댄스
54,사랑인가 봐,멜로망스,"발라드, 국내드라마"
55,청혼하지 않을 이유를 못 찾았어,이무진,발라드
56,Cherish (My Love),아일릿(ILLIT),댄스
57,취중고백,김민석,발라드
58,To. X,태연 (TAEYEON),R&B/Soul
59,Seven (feat. Latto) - Clean Ver.,정국,댄스
60,네모네모,YENA (최예나),댄스
61,달랐을까,PLAVE,"발라드, 국내드라마"
62,사건의 지평선,윤하 (YOUNHA),록/메탈
63,사막에서 꽃을 피우듯,우디 (Woody),발라드
64,"LOVE, MONEY, FAME (feat. DJ Khaled)",세븐틴 (SEVENTEEN),댄스
65,별별별 (See that?),NMIXX,댄스
66,Drama,aespa,댄스
67,Boom Boom Bass,RIIZE,댄스
68,우리 영화,PLAVE,랩/힙합
69,Igloo,KISS OF LIFE,랩/힙합
70,우리들의 블루스,임영웅,발라드
71,I Don't Think That I Like Her,Charlie Puth,POP
72,Love 119,RIIZE,댄스
73,ETA,NewJeans,댄스
74,오래된 노래,허각,발라드
75,첫 눈,EXO,발라드
76,파이팅 해야지 (Feat. 이영지),부석순 (SEVENTEEN),댄스
77,플러팅,황인욱,발라드
78,Dynamite,방탄소년단,댄스
79,From,PLAVE,발라드
80,Attention,NewJeans,댄스
81,봄날,방탄소년단,랩/힙합
82,온기,임영웅,발라드
83,내가 S면 넌 나의 N이 되어줘,TWS (투어스),댄스
84,모래 알갱이,임영웅,발라드
85,Super Shy,NewJeans,댄스
86,Get A Guitar,RIIZE,댄스
87,다시 만날 수 있을까,임영웅,발라드
88,이제 나만 믿어요,임영웅,성인가요/트로트
89,Home,임영웅,댄스
90,Watch Me Woo!,PLAVE,록/메탈
91,MEOW,MEOVV (미야오),랩/힙합
92,버추얼 아이돌,PLAVE,랩/힙합
93,DRIP,BABYMONSTER,댄스
94,무지개,임영웅,록/메탈
95,가까운 듯 먼 그대여,카더가든,발라드
96,밤양갱,비비 (BIBI),R&B/Soul
97,Do or Die,임영웅,댄스
98,CRAZY,LE SSERAFIM (르세라핌),댄스
99,London Boy,임영웅,록/메탈
100,Polaroid,임영웅,록/메탈
