순위,제목,가수,장르
1,SPOT! (feat. JENNIE),지코 (ZICO),랩/힙합
2,Magnetic,아일릿(ILLIT),댄스
3,해야 (HEYA),IVE (아이브),댄스
4,나는 아픈 건 딱 질색이니까,(여자)아이들,댄스
5,고민중독,QWER,록/메탈
6,첫 만남은 계획대로 되지 않아,TWS (투어스),댄스
7,미안해 미워해 사랑해,Crush,"발라드, 국내드라마"
8,Supernova,aespa,댄스
9,천상연,이창섭,발라드
10,SHEESH,BABYMONSTER,R&B/Soul
11,밤양갱,비비 (BIBI),R&B/Soul
12,예뻤어,DAY6 (데이식스),록/메탈
13,한 페이지가 될 수 있게,DAY6 (데이식스),록/메탈
14,소나기,이클립스 (ECLIPSE),"발라드, 국내드라마"
15,Love wins all,아이유,발라드
16,비의 랩소디,임재현,발라드
17,에피소드,이무진,록/메탈
18,To. X,태연 (TAEYEON),R&B/Soul
19,MAESTRO,세븐틴 (SEVENTEEN),댄스
20,그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection)),너드커넥션 (Nerd Connection),발라드
21,Hype Boy,NewJeans,댄스
22,EASY,LE SSERAFIM (르세라핌),랩/힙합
23,Smart,LE SSERAFIM (르세라핌),R&B/Soul
24,헤어지자 말해요,박재정,발라드
25,I AM,IVE (아이브),댄스
26,Drama,aespa,댄스
27,Welcome to the Show,DAY6 (데이식스),록/메탈
28,ETA,NewJeans,댄스
29,Super Shy,NewJeans,댄스
30,사랑은 늘 도망가,임영웅,"발라드, 국내드라마"
31,Perfect Night,LE SSERAFIM (르세라핌),댄스
32,Seven (feat. Latto) - Clean Ver.,정국,댄스
33,Ditto,NewJeans,댄스
34,인사,범진,"발라드, 인디음악"
35,사랑인가 봐,멜로망스,"발라드, 국내드라마"
36,Love 119,RIIZE,댄스
37,너의 모든 순간,성시경,"발라드, 국내드라마"
38,MANIAC,VIVIZ (비비지),댄스
39,홀씨,아이유,랩/힙합
40,사막에서 꽃을 피우듯,우디 (Woody),발라드
41,파이팅 해야지 (Feat. 이영지),부석순 (SEVENTEEN),댄스
42,How Sweet,NewJeans,댄스
43,Love Lee,AKMU (악뮤),댄스
44,OMG,NewJeans,댄스
45,Midas Touch,KISS OF LIFE,댄스
46,꿈,태연 (TAEYEON),"발라드, 국내드라마"
47,퀸카 (Queencard),(여자)아이들,댄스
48,Lucky Girl Syndrome,아일릿(ILLIT),댄스
49,Spicy,aespa,댄스
50,Attention,NewJeans,댄스
51,주저하는 연인들을 위해,잔나비,"인디음악, 록/메탈"
52,사건의 지평선,윤하 (YOUNHA),록/메탈
53,손오공,세븐틴 (SEVENTEEN),댄스
54,Get A Guitar,RIIZE,댄스
55,우리들의 블루스,임영웅,발라드
56,LOVE DIVE,IVE (아이브),댄스
57,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤),발라드
58,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,"발라드, 국내드라마"
59,취중고백,김민석,발라드
60,슬픈 초대장,순순희(지환),"발라드, 인디음악"
61,Impossible,RIIZE,댄스
62,"잘 지내자, 우리 (여름날 우리 X 로이킴)",로이킴,발라드
63,I Don't Think That I Like Her,Charlie Puth,POP
64,Baddie,IVE (아이브),댄스
65,그대가 내 안에 박혔다(그내박),순순희(기태),"발라드, 인디음악"
66,You & Me,제니 (JENNIE),댄스
67,심(心),DK(디셈버),록/메탈
68,사랑하지 않아서 그랬어,임한별,발라드
69,다정히 내 이름을 부르면,경서예지,발라드
70,Siren,RIIZE,댄스
71,모래 알갱이,임영웅,발라드
72,Super Lady,(여자)아이들,댄스
73,Bubble Gum,NewJeans,댄스
74,청춘찬가,세븐틴 (SEVENTEEN),록/메탈
75,봄날,방탄소년단,랩/힙합
76,혹시 세상에 혼자 남겨진 것 같다면,우디 (Woody),록/메탈
77,Dynamite,방탄소년단,댄스
78,Kitsch,IVE (아이브),댄스
79,다시 만날 수 있을까,임영웅,발라드
80,후라이의 꿈,AKMU (악뮤),포크/블루스
81,멈춰줘,헤이즈 (Heize),"발라드, 국내드라마"
82,이제 나만 믿어요,임영웅,성인가요/트로트
83,WAY 4 LUV,PLAVE,록/메탈
84,Do or Die,임영웅,댄스
85,그랬나봐,유회승 (엔플라잉),"발라드, 국내드라마"
86,무지개,임영웅,록/메탈
87,좋아해요,폴킴,"발라드, 국내드라마"
88,London Boy,임영웅,록/메탈
89,"Steal The Show (From ""Elemental"")",Lauv,"POP, 애니메이션/웹툰, 키즈"
90,청혼하지 않을 이유를 못 찾았어,이무진,발라드
91,Accendio,IVE (아이브),댄스
92,음악의 신,세븐틴 (SEVENTEEN),댄스
93,온기,임영웅,발라드
94,Polaroid,임영웅,록/메탈
95,해요 (2022),#안녕,"발라드, 인디음악"
96,Dangerously,Charlie Puth,POP
97,사랑..그게 뭔데,지아,발라드
98,Shopper,아이유,록/메탈
99,인생찬가,임영웅,발라드
100,물론,허각,발라드
