순위,제목,가수,장르
1,Magnetic,아일릿(ILLIT),댄스
2,나는 아픈 건 딱 질색이니까,(여자)아이들,댄스
3,첫 만남은 계획대로 되지 않아,TWS (투어스),댄스
4,밤양갱,비비 (BIBI),R&B/Soul
5,Love wins all,아이유,발라드
6,천상연,이창섭,발라드
7,EASY,LE SSERAFIM (르세라핌),랩/힙합
8,비의 랩소디,임재현,발라드
9,예뻤어,DAY6 (데이식스),록/메탈
10,Smart,LE SSERAFIM (르세라핌),R&B/Soul
11,To. X,태연 (TAEYEON),R&B/Soul
12,한 페이지가 될 수 있게,DAY6 (데이식스),록/메탈
13,그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection)),너드커넥션 (Nerd Connection),발라드
14,Love 119,RIIZE,댄스
15,Perfect Night,LE SSERAFIM (르세라핌),댄스
16,고민중독,QWER,록/메탈
17,헤어지자 말해요,박재정,발라드
18,홀씨,아이유,랩/힙합
19,에피소드,이무진,록/메탈
20,Drama,aespa,댄스
21,인사,범진,"발라드, 인디음악"
22,I AM,IVE (아이브),댄스
23,미안해 미워해 사랑해,Crush,"발라드, 국내드라마"
24,사랑인가 봐,멜로망스,"발라드, 국내드라마"
25,Seven (feat. Latto) - Clean Ver.,정국,댄스
26,Hype Boy,NewJeans,댄스
27,MANIAC,VIVIZ (비비지),댄스
28,너의 모든 순간,성시경,"발라드, 국내드라마"
29,꿈,태연 (TAEYEON),"발라드, 국내드라마"
30,Love Lee,AKMU (악뮤),댄스
31,Welcome to the Show,DAY6 (데이식스),록/메탈
32,사랑은 늘 도망가,임영웅,"발라드, 국내드라마"
33,사막에서 꽃을 피우듯,우디 (Woody),발라드
34,Super Lady,(여자)아이들,댄스
35,Super Shy,NewJeans,댄스
36,Get A Guitar,RIIZE,댄스
37,퀸카 (Queencard),(여자)아이들,댄스
38,Ditto,NewJeans,댄스
39,주저하는 연인들을 위해,잔나비,"인디음악, 록/메탈"
40,ETA,NewJeans,댄스
41,사건의 지평선,윤하 (YOUNHA),록/메탈
42,"잘 지내자, 우리 (여름날 우리 X 로이킴)",로이킴,발라드
43,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤),발라드
44,Baddie,IVE (아이브),댄스
45,Wife,(여자)아이들,댄스
46,Siren,RIIZE,댄스
47,Shopper,아이유,록/메탈
48,그대가 내 안에 박혔다(그내박),순순희(기태),"발라드, 인디음악"
49,SHEESH,BABYMONSTER,R&B/Soul
50,You & Me,제니 (JENNIE),댄스
51,취중고백,김민석,발라드
52,봄날,방탄소년단,랩/힙합
53,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,"발라드, 국내드라마"
54,심(心),DK(디셈버),록/메탈
55,I Don't Think That I Like Her,Charlie Puth,POP
56,사랑할 수밖에,볼빨간사춘기,"발라드, 인디음악"
57,후라이의 꿈,AKMU (악뮤),포크/블루스
58,사랑하지 않아서 그랬어,임한별,발라드
59,Spicy,aespa,댄스
60,LOVE DIVE,IVE (아이브),댄스
61,다정히 내 이름을 부르면,경서예지,발라드
62,사랑..그게 뭔데,지아,발라드
63,해요 (2022),#안녕,"발라드, 인디음악"
64,Kitsch,IVE (아이브),댄스
65,물론,허각,발라드
66,"Steal The Show (From ""Elemental"")",Lauv,"POP, 애니메이션/웹툰, 키즈"
67,우리들의 블루스,임영웅,발라드
68,파이팅 해야지 (Feat. 이영지),부석순 (SEVENTEEN),댄스
69,모래 알갱이,임영웅,발라드
70,손오공,세븐틴 (SEVENTEEN),댄스
71,Dynamite,방탄소년단,댄스
72,Dangerously,Charlie Puth,POP
73,봄 사랑 벚꽃 말고,HIGH4 (하이포),발라드
74,"이브, 프시케 그리고 푸른 수염의 아내",LE SSERAFIM (르세라핌),댄스
75,봄이 와도,로이킴,발라드
76,WAY 4 LUV,PLAVE,록/메탈
77,벚꽃 엔딩,버스커 버스커,록/메탈
78,별 떨어진다 (I Do),도경수(D.O.),발라드
79,기억해줘요 내 모든 날과 그때를,화곡동 청개구리,발라드
80,After LIKE,IVE (아이브),댄스
81,혹시 세상에 혼자 남겨진 것 같다면,우디 (Woody),록/메탈
82,다시 만날 수 있을까,임영웅,발라드
83,Standing Next to You,정국,댄스
84,Deja Vu,투모로우바이투게더,댄스
85,이제 나만 믿어요,임영웅,성인가요/트로트
86,OMG,NewJeans,댄스
87,Do or Die,임영웅,댄스
88,SPOT! (feat. JENNIE),지코 (ZICO),랩/힙합
89,"Yes or No (Feat. 허윤진 of LE SSERAFIM, Crush)",그루비룸 (GroovyRoom),R&B/Soul
90,무지개,임영웅,록/메탈
91,건물 사이에 피어난 장미 (Rose Blossom),H1-KEY (하이키),댄스
92,영원,DK(디셈버),발라드
93,우연히 봄,로꼬,"발라드, 랩/힙합, 국내드라마"
94,Midas Touch,KISS OF LIFE,댄스
95,Discord,QWER,록/메탈
96,Attention,NewJeans,댄스
97,멈춰줘,헤이즈 (Heize),"발라드, 국내드라마"
98,London Boy,임영웅,록/메탈
99,아버지,임영웅,발라드
100,Polaroid,임영웅,록/메탈
