순위,제목,가수,장르
1,HAPPY,DAY6 (데이식스),록/메탈
2,Supernova,aespa,댄스
3,Welcome to the Show,DAY6 (데이식스),록/메탈
4,녹아내려요,DAY6 (데이식스),록/메탈
5,클락션 (Klaxon),(여자)아이들,댄스
6,한 페이지가 될 수 있게,DAY6 (데이식스),록/메탈
7,How Sweet,NewJeans,댄스
8,소나기,이클립스 (ECLIPSE),"발라드, 국내드라마"
9,Small girl (feat. 도경수(D.O.)),이영지,랩/힙합
10,Sticky,KISS OF LIFE,댄스
11,예뻤어,DAY6 (데이식스),록/메탈
12,Supernatural,NewJeans,J-POP
13,고민중독,QWER,록/메탈
14,나는 아픈 건 딱 질색이니까,(여자)아이들,댄스
15,천상연,이창섭,발라드
16,첫 만남은 계획대로 되지 않아,TWS (투어스),댄스
17,Supersonic,프로미스나인,댄스
18,Magnetic,아일릿(ILLIT),댄스
19,Armageddon,aespa,댄스
20,Bubble Gum,NewJeans,댄스
21,해야 (HEYA),IVE (아이브),댄스
22,슬픈 초대장,순순희(지환),"발라드, 인디음악"
23,SPOT! (feat. JENNIE),지코 (ZICO),랩/힙합
24,Love wins all,아이유,발라드
25,에피소드,이무진,록/메탈
26,비의 랩소디,임재현,발라드
27,미안해 미워해 사랑해,Crush,"발라드, 국내드라마"
28,그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection)),너드커넥션 (Nerd Connection),발라드
29,Hype Boy,NewJeans,댄스
30,Boom Boom Bass,RIIZE,댄스
31,헤어지자 말해요,박재정,발라드
32,별별별 (See that?),NMIXX,댄스
33,I AM,IVE (아이브),댄스
34,내가 S면 넌 나의 N이 되어줘,TWS (투어스),댄스
35,사랑은 늘 도망가,임영웅,"발라드, 국내드라마"
36,너의 모든 순간,성시경,"발라드, 국내드라마"
37,WAY 4 LUV,PLAVE,록/메탈
38,다정히 내 이름을 부르면,경서예지,발라드
39,To. X,태연 (TAEYEON),R&B/Soul
40,주저하는 연인들을 위해,잔나비,"인디음악, 록/메탈"
41,Ditto,NewJeans,댄스
42,ETA,NewJeans,댄스
43,인사,범진,"발라드, 인디음악"
44,Seven (feat. Latto) - Clean Ver.,정국,댄스
45,오래된 노래,허각,발라드
46,사랑인가 봐,멜로망스,"발라드, 국내드라마"
47,사건의 지평선,윤하 (YOUNHA),록/메탈
48,Drama,aespa,댄스
49,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,"발라드, 국내드라마"
50,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤),발라드
51,Attention,NewJeans,댄스
52,Pump Up The Volume!,PLAVE,록/메탈
53,Super Shy,NewJeans,댄스
54,취중고백,김민석,발라드
55,CRAZY,LE SSERAFIM (르세라핌),댄스
56,밤양갱,비비 (BIBI),R&B/Soul
57,청혼하지 않을 이유를 못 찾았어,이무진,발라드
58,Spicy,aespa,댄스
59,사막에서 꽃을 피우듯,우디 (Woody),발라드
60,I Don't Think That I Like Her,Charlie Puth,POP
61,퀸카 (Queencard),(여자)아이들,댄스
62,LOVE DIVE,IVE (아이브),댄스
63,파이팅 해야지 (Feat. 이영지),부석순 (SEVENTEEN),댄스
64,SHEESH,BABYMONSTER,R&B/Soul
65,Perfect Night,LE SSERAFIM (르세라핌),댄스
66,우리 영화,PLAVE,랩/힙합
67,Love 119,RIIZE,댄스
68,Get A Guitar,RIIZE,댄스
69,Girls Never Die,tripleS (트리플에스),댄스
70,우리들의 블루스,임영웅,발라드
71,Love Lee,AKMU (악뮤),댄스
72,꿈,태연 (TAEYEON),"발라드, 국내드라마"
73,Congratulations,DAY6 (데이식스),록/메탈
74,그녀가 웃었다,DAY6 (데이식스),록/메탈
75,Dynamite,방탄소년단,댄스
76,Live My Life,aespa,록/메탈
77,OMG,NewJeans,댄스
78,From,PLAVE,발라드
79,봄날,방탄소년단,랩/힙합
80,온기,임영웅,발라드
81,모래 알갱이,임영웅,발라드
82,다시 만날 수 있을까,임영웅,발라드
83,이제 나만 믿어요,임영웅,성인가요/트로트
84,Watch Me Woo!,PLAVE,록/메탈
85,Home,임영웅,댄스
86,MANIAC,VIVIZ (비비지),댄스
87,플러팅,황인욱,발라드
88,Cosmic,Red Velvet (레드벨벳),댄스
89,그랬나봐,유회승 (엔플라잉),"발라드, 국내드라마"
90,Accendio,IVE (아이브),댄스
91,무지개,임영웅,록/메탈
92,여섯 번째 여름,PLAVE,록/메탈
93,괴물,DAY6 (데이식스),록/메탈
94,버추얼 아이돌,PLAVE,랩/힙합
95,Do or Die,임영웅,댄스
96,Midas Touch,KISS OF LIFE,댄스
97,London Boy,임영웅,록/메탈
98,네가 내 마음에 자리 잡았다 (Into You),엔플라잉 (N.Flying),록/메탈
99,MEOW,MEOVV (미야오),랩/힙합
100,위태로울걸,오반(OVAN),"랩/힙합, 인디음악"
