순위,제목,가수,장르
1,"HOME SWEET HOME (feat. 태양, 대성)",G-DRAGON,랩/힙합
2,APT.,로제 (ROSÉ),댄스
3,Whiplash,aespa,댄스
4,나는 반딧불,황가람,발라드
5,POWER,G-DRAGON,랩/힙합
6,HAPPY,DAY6 (데이식스),록/메탈
7,첫 눈,EXO,발라드
8,UP (KARINA Solo),aespa,댄스
9,내 이름 맑음,QWER,록/메탈
10,내게 사랑이 뭐냐고 물어본다면,로이킴,발라드
11,toxic till the end,로제 (ROSÉ),록/메탈
12,Welcome to the Show,DAY6 (데이식스),록/메탈
13,너와의 모든 지금,재쓰비 (JAESSBEE),댄스
14,Supernova,aespa,댄스
15,소나기,이클립스 (ECLIPSE),"발라드, 국내드라마"
16,Mantra,제니 (JENNIE),댄스
17,한 페이지가 될 수 있게,DAY6 (데이식스),록/메탈
18,천상연,이창섭,발라드
19,Drowning,WOODZ,록/메탈
20,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤),발라드
21,슬픈 초대장,순순희(지환),"발라드, 인디음악"
22,고민중독,QWER,록/메탈
23,예뻤어,DAY6 (데이식스),록/메탈
24,All I Want for Christmas Is You,Mariah Carey,R&B/Soul
25,Love wins all,아이유,발라드
26,How Sweet,NewJeans,댄스
27,Supersonic,프로미스나인,댄스
28,number one girl,로제 (ROSÉ),발라드
29,Small girl (feat. 도경수(D.O.)),이영지,랩/힙합
30,나는 아픈 건 딱 질색이니까,(여자)아이들,댄스
31,첫 만남은 계획대로 되지 않아,TWS (투어스),댄스
32,너의 모든 순간,성시경,"발라드, 국내드라마"
33,Ditto,NewJeans,댄스
34,그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection)),너드커넥션 (Nerd Connection),발라드
35,Santa Tell Me,Ariana Grande,POP
36,녹아내려요,DAY6 (데이식스),록/메탈
37,눈이 오잖아(Feat.헤이즈),이무진,발라드
38,에피소드,이무진,록/메탈
39,사랑은 늘 도망가,임영웅,"발라드, 국내드라마"
40,비의 랩소디,임재현,발라드
41,Magnetic,아일릿(ILLIT),댄스
42,Igloo,KISS OF LIFE,랩/힙합
43,헤어지자 말해요,박재정,발라드
44,미안해 미워해 사랑해,Crush,"발라드, 국내드라마"
45,클락션 (Klaxon),(여자)아이들,댄스
46,Armageddon,aespa,댄스
47,미리 메리 크리스마스 (Feat. 천둥 Of MBLAQ),아이유,댄스
48,주저하는 연인들을 위해,잔나비,"인디음악, 록/메탈"
49,인사,범진,"발라드, 인디음악"
50,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,"발라드, 국내드라마"
51,Supernatural,NewJeans,J-POP
52,다정히 내 이름을 부르면,경서예지,발라드
53,청춘만화,이무진,록/메탈
54,Sticky,KISS OF LIFE,댄스
55,Snowman,Sia,POP
56,WAY 4 LUV,PLAVE,록/메탈
57,Pump Up The Volume!,PLAVE,록/메탈
58,DRIP,BABYMONSTER,댄스
59,Hype Boy,NewJeans,댄스
60,I AM,IVE (아이브),댄스
61,Love 119,RIIZE,댄스
62,크리스마스니까,성시경,발라드
63,SPOT! (feat. JENNIE),지코 (ZICO),랩/힙합
64,해야 (HEYA),IVE (아이브),댄스
65,청혼하지 않을 이유를 못 찾았어,이무진,발라드
66,사랑인가 봐,멜로망스,"발라드, 국내드라마"
67,To. X,태연 (TAEYEON),R&B/Soul
68,"무제(無題) (Untitled, 2014)",G-DRAGON,R&B/Soul
69,취중고백,김민석,발라드
70,Congratulations,DAY6 (데이식스),록/메탈
71,사건의 지평선,윤하 (YOUNHA),록/메탈
72,네모네모,YENA (최예나),댄스
73,Bubble Gum,NewJeans,댄스
74,사막에서 꽃을 피우듯,우디 (Woody),발라드
75,Seven (feat. Latto) - Clean Ver.,정국,댄스
76,우리들의 블루스,임영웅,발라드
77,Drama,aespa,댄스
78,Cherish (My Love),아일릿(ILLIT),댄스
79,Boom Boom Bass,RIIZE,댄스
80,우리 영화,PLAVE,랩/힙합
81,온기,임영웅,발라드
82,봄날,방탄소년단,랩/힙합
83,Dynamite,방탄소년단,댄스
84,From,PLAVE,발라드
85,모래 알갱이,임영웅,발라드
86,Must Have Love,SG 워너비,R&B/Soul
87,다시 만날 수 있을까,임영웅,발라드
88,Letter To Myself,태연 (TAEYEON),록/메탈
89,이제 나만 믿어요,임영웅,성인가요/트로트
90,Home,임영웅,댄스
91,Watch Me Woo!,PLAVE,록/메탈
92,무지개,임영웅,록/메탈
93,I Don't Think That I Like Her,Charlie Puth,POP
94,Last Christmas,Ariana Grande,POP
95,ETA,NewJeans,댄스
96,가까운 듯 먼 그대여,카더가든,발라드
97,Do or Die,임영웅,댄스
98,버추얼 아이돌,PLAVE,랩/힙합
99,London Boy,임영웅,록/메탈
100,오래된 노래,허각,발라드
