순위,제목,가수,장르
1,Love wins all,아이유,발라드
2,To. X,태연 (TAEYEON),R&B/Soul
3,비의 랩소디,임재현,발라드
4,첫 만남은 계획대로 되지 않아,TWS (투어스),댄스
5,Love 119,RIIZE,댄스
6,에피소드,이무진,록/메탈
7,Perfect Night,LE SSERAFIM (르세라핌),댄스
8,그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection)),너드커넥션 (Nerd Connection),발라드
9,Drama,aespa,댄스
10,헤어지자 말해요,박재정,발라드
11,밤양갱,비비 (BIBI),R&B/Soul
12,인사,범진,"발라드, 인디음악"
13,Wife,(여자)아이들,댄스
14,Super Lady,(여자)아이들,댄스
15,I AM,IVE (아이브),댄스
16,Seven (feat. Latto) - Clean Ver.,정국,댄스
17,꿈,태연 (TAEYEON),"발라드, 국내드라마"
18,Get A Guitar,RIIZE,댄스
19,MANIAC,VIVIZ (비비지),댄스
20,Love Lee,AKMU (악뮤),댄스
21,Baddie,IVE (아이브),댄스
22,너의 모든 순간,성시경,"발라드, 국내드라마"
23,You & Me,제니 (JENNIE),댄스
24,사막에서 꽃을 피우듯,우디 (Woody),발라드
25,Super Shy,NewJeans,댄스
26,"잘 지내자, 우리 (여름날 우리 X 로이킴)",로이킴,발라드
27,퀸카 (Queencard),(여자)아이들,댄스
28,후라이의 꿈,AKMU (악뮤),포크/블루스
29,Hype Boy,NewJeans,댄스
30,예뻤어,DAY6 (데이식스),록/메탈
31,사랑은 늘 도망가,임영웅,"발라드, 국내드라마"
32,Ditto,NewJeans,댄스
33,사랑인가 봐,멜로망스,"발라드, 국내드라마"
34,ETA,NewJeans,댄스
35,한 페이지가 될 수 있게,DAY6 (데이식스),록/메탈
36,첫 눈,EXO,발라드
37,사건의 지평선,윤하 (YOUNHA),록/메탈
38,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤),발라드
39,사랑하지 않아서 그랬어,임한별,발라드
40,사랑할 수밖에,볼빨간사춘기,"발라드, 인디음악"
41,심(心),DK(디셈버),록/메탈
42,Spicy,aespa,댄스
43,그대가 내 안에 박혔다(그내박),순순희(기태),"발라드, 인디음악"
44,취중고백,김민석,발라드
45,기억해줘요 내 모든 날과 그때를,화곡동 청개구리,발라드
46,별 떨어진다 (I Do),도경수(D.O.),발라드
47,Standing Next to You,정국,댄스
48,I Don't Think That I Like Her,Charlie Puth,POP
49,Kitsch,IVE (아이브),댄스
50,LOVE DIVE,IVE (아이브),댄스
51,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,"발라드, 국내드라마"
52,Discord,QWER,록/메탈
53,해요 (2022),#안녕,"발라드, 인디음악"
54,주저하는 연인들을 위해,잔나비,"인디음악, 록/메탈"
55,"이브, 프시케 그리고 푸른 수염의 아내",LE SSERAFIM (르세라핌),댄스
56,사랑..그게 뭔데,지아,발라드
57,"Steal The Show (From ""Elemental"")",Lauv,"POP, 애니메이션/웹툰, 키즈"
58,물론,허각,발라드
59,OMG,NewJeans,댄스
60,"그대가 있는 곳, 언제 어디든",로이킴,"발라드, 국내드라마"
61,After LIKE,IVE (아이브),댄스
62,다정히 내 이름을 부르면,경서예지,발라드
63,Fast Forward,전소미,댄스
64,음악의 신,세븐틴 (SEVENTEEN),댄스
65,손오공,세븐틴 (SEVENTEEN),댄스
66,"Smoke (Prod. Dynamicduo, Padi)",다이나믹 듀오,랩/힙합
67,파이팅 해야지 (Feat. 이영지),부석순 (SEVENTEEN),댄스
68,I Love You,안세하,발라드
69,Dangerously,Charlie Puth,POP
70,우리들의 블루스,임영웅,발라드
71,"Yes or No (Feat. 허윤진 of LE SSERAFIM, Crush)",그루비룸 (GroovyRoom),R&B/Soul
72,모래 알갱이,임영웅,발라드
73,Dynamite,방탄소년단,댄스
74,홀씨,아이유,랩/힙합
75,Attention,NewJeans,댄스
76,Bubble,STAYC(스테이씨),댄스
77,건물 사이에 피어난 장미 (Rose Blossom),H1-KEY (하이키),댄스
78,나에게 그대만이,탑현,발라드
79,봄날,방탄소년단,랩/힙합
80,UNFORGIVEN (feat. Nile Rodgers),LE SSERAFIM (르세라핌),댄스
81,Off The Record,IVE (아이브),댄스
82,Either Way,IVE (아이브),R&B/Soul
83,눈이 오잖아(Feat.헤이즈),이무진,발라드
84,EASY,LE SSERAFIM (르세라핌),랩/힙합
85,다시 만날 수 있을까,임영웅,발라드
86,Shopper,아이유,록/메탈
87,잠시라도 우리,성시경,발라드
88,이제 나만 믿어요,임영웅,성인가요/트로트
89,Do or Die,임영웅,댄스
90,나는 아픈 건 딱 질색이니까,(여자)아이들,댄스
91,Butter,방탄소년단,댄스
92,Chill Kill,Red Velvet (레드벨벳),댄스
93,Talk Saxy,RIIZE,댄스
94,무지개,임영웅,록/메탈
95,아버지,임영웅,발라드
96,London Boy,임영웅,록/메탈
97,GODS,NewJeans,"댄스, 게임"
98,Polaroid,임영웅,록/메탈
99,인생찬가,임영웅,발라드
100,I Love My Body,화사 (HWASA),댄스
