순위,제목,가수,장르
1,비의 랩소디,임재현,발라드
2,To. X,태연 (TAEYEON),R&B/Soul
3,Perfect Night,LE SSERAFIM (르세라핌),댄스
4,Drama,aespa,댄스
5,헤어지자 말해요,박재정,발라드
6,에피소드,이무진,록/메탈
7,인사,범진,"발라드, 인디음악"
8,그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection)),너드커넥션 (Nerd Connection),발라드
9,첫 눈,EXO,발라드
10,Baddie,IVE (아이브),댄스
11,Seven (feat. Latto) - Clean Ver.,정국,댄스
12,I AM,IVE (아이브),댄스
13,Love Lee,AKMU (악뮤),댄스
14,You & Me,제니 (JENNIE),댄스
15,Love 119,RIIZE,댄스
16,후라이의 꿈,AKMU (악뮤),포크/블루스
17,Get A Guitar,RIIZE,댄스
18,너의 모든 순간,성시경,"발라드, 국내드라마"
19,Super Shy,NewJeans,댄스
20,사막에서 꽃을 피우듯,우디 (Woody),발라드
21,Ditto,NewJeans,댄스
22,"잘 지내자, 우리 (여름날 우리 X 로이킴)",로이킴,발라드
23,ETA,NewJeans,댄스
24,Hype Boy,NewJeans,댄스
25,퀸카 (Queencard),(여자)아이들,댄스
26,사랑은 늘 도망가,임영웅,"발라드, 국내드라마"
27,별 떨어진다 (I Do),도경수(D.O.),발라드
28,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤),발라드
29,Standing Next to You,정국,댄스
30,사랑인가 봐,멜로망스,"발라드, 국내드라마"
31,Discord,QWER,록/메탈
32,사건의 지평선,윤하 (YOUNHA),록/메탈
33,MANIAC,VIVIZ (비비지),댄스
34,Spicy,aespa,댄스
35,사랑할 수밖에,볼빨간사춘기,"발라드, 인디음악"
36,사랑하지 않아서 그랬어,임한별,발라드
37,"Smoke (Prod. Dynamicduo, Padi)",다이나믹 듀오,랩/힙합
38,Either Way,IVE (아이브),R&B/Soul
39,Kitsch,IVE (아이브),댄스
40,Fast Forward,전소미,댄스
41,취중고백,김민석,발라드
42,심(心),DK(디셈버),록/메탈
43,OMG,NewJeans,댄스
44,Love wins all,아이유,발라드
45,"이브, 프시케 그리고 푸른 수염의 아내",LE SSERAFIM (르세라핌),댄스
46,LOVE DIVE,IVE (아이브),댄스
47,Off The Record,IVE (아이브),댄스
48,그대가 내 안에 박혔다(그내박),순순희(기태),"발라드, 인디음악"
49,음악의 신,세븐틴 (SEVENTEEN),댄스
50,"Steal The Show (From ""Elemental"")",Lauv,"POP, 애니메이션/웹툰, 키즈"
51,I Don't Think That I Like Her,Charlie Puth,POP
52,물론,허각,발라드
53,잠시라도 우리,성시경,발라드
54,해요 (2022),#안녕,"발라드, 인디음악"
55,After LIKE,IVE (아이브),댄스
56,주저하는 연인들을 위해,잔나비,"인디음악, 록/메탈"
57,예뻤어,DAY6 (데이식스),록/메탈
58,파이팅 해야지 (Feat. 이영지),부석순 (SEVENTEEN),댄스
59,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,"발라드, 국내드라마"
60,사랑..그게 뭔데,지아,발라드
61,Bubble,STAYC(스테이씨),댄스
62,다정히 내 이름을 부르면,경서예지,발라드
63,손오공,세븐틴 (SEVENTEEN),댄스
64,"그대가 있는 곳, 언제 어디든",로이킴,"발라드, 국내드라마"
65,눈이 오잖아(Feat.헤이즈),이무진,발라드
66,우리들의 블루스,임영웅,발라드
67,Dangerously,Charlie Puth,POP
68,Attention,NewJeans,댄스
69,Chill Kill,Red Velvet (레드벨벳),댄스
70,Dynamite,방탄소년단,댄스
71,한 페이지가 될 수 있게,DAY6 (데이식스),록/메탈
72,나에게 그대만이,탑현,발라드
73,UNFORGIVEN (feat. Nile Rodgers),LE SSERAFIM (르세라핌),댄스
74,모래 알갱이,임영웅,발라드
75,봄날,방탄소년단,랩/힙합
76,GODS,NewJeans,"댄스, 게임"
77,다시 만날 수 있을까,임영웅,발라드
78,Do or Die,임영웅,댄스
79,I Love My Body,화사 (HWASA),댄스
80,I Love You,안세하,발라드
81,이제 나만 믿어요,임영웅,성인가요/트로트
82,화이트 (White),폴킴,댄스
83,건물 사이에 피어난 장미 (Rose Blossom),H1-KEY (하이키),댄스
84,Butter,방탄소년단,댄스
85,무지개,임영웅,록/메탈
86,Snowman,Sia,POP
87,아버지,임영웅,발라드
88,London Boy,임영웅,록/메탈
89,Polaroid,임영웅,록/메탈
90,"밤, 바다",최유리,발라드
91,인생찬가,임영웅,발라드
92,STAY,The Kid LAROI,POP
93,Summer (Feat. BE’O (비오)),Paul Blanco,랩/힙합
94,숲,최유리,"인디음악, 포크/블루스"
95,어른,Sondia,"발라드, 국내드라마"
96,A bientot,임영웅,랩/힙합
97,꿈,태연 (TAEYEON),"발라드, 국내드라마"
98,Talk Saxy,RIIZE,댄스
99,Yes or No,정국,R&B/Soul
100,희재,성시경,"발라드, 국내영화"
